user_id,date,source,plan
1,2023-07-31,ads,free
1,2023-08-31,ads,free
1,2023-09-30,ads,free
1,2023-10-31,ads,free
1,2023-11-30,ads,free
1,2023-12-31,ads,free
2,2023-05-31,organico,free
2,2023-06-30,organico,free
2,2023-07-31,organico,free
2,2023-08-31,organico,free
2,2023-09-30,organico,free
2,2023-10-31,organico,free
2,2023-11-30,organico,free
2,2023-12-31,organico,free
3,2023-11-30,ads,free
3,2023-12-30,ads,free
4,2023-03-31,organico,premium
4,2023-04-30,organico,premium
4,2023-05-31,organico,premium
4,2023-06-30,organico,premium
4,2023-07-31,organico,premium
4,2023-08-31,organico,premium
5,2023-02-28,organico,free
5,2023-03-28,organico,free
5,2023-04-28,organico,free
5,2023-05-28,organico,free
5,2023-06-28,organico,free
5,2023-07-28,organico,free
5,2023-08-28,organico,free
5,2023-09-28,organico,free
5,2023-10-28,organico,free
5,2023-11-28,organico,free
6,2023-06-30,organico,free
6,2023-07-30,organico,free
6,2023-08-30,organico,free
6,2023-09-30,organico,free
6,2023-10-30,organico,free
6,2023-11-30,organico,free
6,2023-12-30,organico,free
7,2023-11-30,organico,free
7,2023-12-30,organico,free
8,2023-12-31,organico,free
9,2023-05-31,ads,free
9,2023-06-30,ads,free
9,2023-07-31,ads,free
9,2023-08-31,ads,free
9,2023-09-30,ads,free
9,2023-10-31,ads,free
9,2023-11-30,ads,free
10,2023-02-28,indicacao,premium
10,2023-03-28,indicacao,premium
11,2023-10-31,organico,free
11,2023-11-30,organico,free
11,2023-12-31,organico,free
12,2023-12-31,organico,free
13,2023-03-31,indicacao,free
13,2023-04-30,indicacao,free
13,2023-05-31,indicacao,free
13,2023-06-30,indicacao,free
13,2023-07-31,indicacao,free
13,2023-08-31,indicacao,free
13,2023-09-30,indicacao,free
13,2023-10-31,indicacao,free
14,2023-04-30,organico,free
14,2023-05-30,organico,free
14,2023-06-30,organico,free
14,2023-07-30,organico,free
14,2023-08-30,organico,free
14,2023-09-30,organico,free
14,2023-10-30,organico,free
14,2023-11-30,organico,free
14,2023-12-30,organico,free
15,2023-04-30,organico,premium
15,2023-05-30,organico,premium
15,2023-06-30,organico,premium
15,2023-07-30,organico,premium
15,2023-08-30,organico,premium
15,2023-09-30,organico,premium
15,2023-10-30,organico,premium
15,2023-11-30,organico,premium
15,2023-12-30,organico,premium
16,2023-12-31,indicacao,premium
17,2023-07-31,organico,premium
17,2023-08-31,organico,premium
17,2023-09-30,organico,premium
17,2023-10-31,organico,premium
17,2023-11-30,organico,premium
18,2023-02-28,organico,free
18,2023-03-28,organico,free
18,2023-04-28,organico,free
18,2023-05-28,organico,free
18,2023-06-28,organico,free
18,2023-07-28,organico,free
18,2023-08-28,organico,free
18,2023-09-28,organico,free
18,2023-10-28,organico,free
19,2023-12-31,ads,free
20,2023-09-30,indicacao,free
20,2023-10-30,indicacao,free
20,2023-11-30,indicacao,free
20,2023-12-30,indicacao,free
21,2023-08-31,organico,free
21,2023-09-30,organico,free
21,2023-10-31,organico,free
21,2023-11-30,organico,free
21,2023-12-31,organico,free
22,2023-03-31,ads,free
22,2023-04-30,ads,free
22,2023-05-31,ads,free
22,2023-06-30,ads,free
22,2023-07-31,ads,free
22,2023-08-31,ads,free
22,2023-09-30,ads,free
22,2023-10-31,ads,free
22,2023-11-30,ads,free
22,2023-12-31,ads,free
23,2023-07-31,ads,premium
23,2023-08-31,ads,premium
23,2023-09-30,ads,premium
23,2023-10-31,ads,premium
23,2023-11-30,ads,premium
23,2023-12-31,ads,premium
24,2023-08-31,organico,free
24,2023-09-30,organico,free
24,2023-10-31,organico,free
24,2023-11-30,organico,free
24,2023-12-31,organico,free
25,2023-07-31,ads,free
25,2023-08-31,ads,free
25,2023-09-30,ads,free
25,2023-10-31,ads,free
25,2023-11-30,ads,free
25,2023-12-31,ads,free
26,2023-06-30,ads,free
26,2023-07-30,ads,free
26,2023-08-30,ads,free
26,2023-09-30,ads,free
26,2023-10-30,ads,free
27,2023-03-31,ads,free
27,2023-04-30,ads,free
27,2023-05-31,ads,free
27,2023-06-30,ads,free
27,2023-07-31,ads,free
27,2023-08-31,ads,free
27,2023-09-30,ads,free
28,2023-11-30,organico,free
28,2023-12-30,organico,free
29,2023-12-31,organico,free
30,2023-01-31,organico,free
30,2023-02-28,organico,free
30,2023-03-31,organico,free
30,2023-04-30,organico,free
30,2023-05-31,organico,free
31,2023-07-31,ads,free
31,2023-08-31,ads,free
31,2023-09-30,ads,free
31,2023-10-31,ads,free
32,2023-07-31,organico,free
32,2023-08-31,organico,free
33,2023-10-31,ads,free
33,2023-11-30,ads,free
33,2023-12-31,ads,free
34,2023-12-31,ads,free
35,2023-10-31,organico,free
36,2023-01-31,organico,free
36,2023-02-28,organico,free
36,2023-03-31,organico,free
36,2023-04-30,organico,free
37,2023-09-30,organico,free
37,2023-10-30,organico,free
37,2023-11-30,organico,free
37,2023-12-30,organico,free
38,2023-09-30,organico,free
38,2023-10-30,organico,free
38,2023-11-30,organico,free
38,2023-12-30,organico,free
39,2023-12-31,organico,free
40,2023-09-30,organico,free
40,2023-10-30,organico,free
40,2023-11-30,organico,free
40,2023-12-30,organico,free
41,2023-04-30,organico,free
41,2023-05-30,organico,free
41,2023-06-30,organico,free
42,2023-01-31,organico,premium
42,2023-02-28,organico,premium
42,2023-03-31,organico,premium
42,2023-04-30,organico,premium
